Size (bytes),Time (ms),mb/s
1,19.00,0.000052631578947368424
10,14.60,0.0006849315057308192
100,266.70,0.0003749531307916042
1000,14.00,0.07142857142857142
10000,14.10,0.7092198569568001
100000,26.00,3.8461538461538463
1000000,178.20,5.611672276837344
10000000,1665.30,6.0049240378828665
