Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,226.79999999701977,2.267999999970198,0.000016276041666666666
100,4,186.5,1.865,0.00006510416666666667
100,16,154.90000000596046,1.5490000000596047,0.00026041666666666666
100,63,163,1.63,0.001025390625
100,251,167.40000000596046,1.6740000000596047,0.0040852864583333336
100,1000,178.70000000298023,1.7870000000298023,0.016276041666666668
100,3981,327,3.27,0.064794921875
100,15849,794.3000000119209,7.943000000119209,0.257958984375
100,63096,3267,32.67,1.026953125
100,251189,13102.79999999702,131.0279999999702,4.088362630208334
200,1,2850.7000000029802,14.2535000000149,0.000016276041666666666
200,4,1206.7000000029802,6.033500000014901,0.00006510416666666667
200,16,309.20000000298023,1.5460000000149012,0.00026041666666666666
200,63,326.79999999701977,1.633999999985099,0.001025390625
200,251,365.59999999403954,1.8279999999701977,0.0040852864583333336
200,1000,752.2999999970198,3.761499999985099,0.016276041666666668
200,3981,1018.5,5.0925,0.064794921875
200,15849,1959.199999988079,9.795999999940395,0.257958984375
200,63096,7287,36.435,1.026953125
200,251189,24692.19999998808,123.4609999999404,4.088362630208334
300,1,4742.79999999702,15.8093333333234,0.000016276041666666666
300,4,1245.2000000029802,4.1506666666766,0.00006510416666666667
300,16,518.7000000029802,1.7290000000099341,0.00026041666666666666
300,63,492.3999999910593,1.641333333303531,0.001025390625
300,251,495.69999998807907,1.652333333293597,0.0040852864583333336
300,1000,540.5,1.8016666666666667,0.016276041666666668
300,3981,893.2999999970198,2.9776666666567326,0.064794921875
300,15849,3553.4000000059605,11.844666666686535,0.257958984375
300,63096,11304.70000000298,37.682333333343266,1.026953125
300,251189,39888.80000001192,132.9626666667064,4.088362630208334
400,1,2533.5,6.33375,0.000016276041666666666
400,4,729.7999999970198,1.8244999999925495,0.00006510416666666667
400,16,715.5,1.78875,0.00026041666666666666
400,63,565.2000000029802,1.4130000000074505,0.001025390625
400,251,635.7000000029802,1.5892500000074505,0.0040852864583333336
400,1000,888,2.22,0.016276041666666668
400,3981,1744.5999999940395,4.3614999999850985,0.064794921875
400,15849,3695.8999999910593,9.239749999977649,0.257958984375
400,63096,12681.10000000894,31.702750000022352,1.026953125
400,251189,51352.5,128.38125,4.088362630208334
