Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,259.40000000596046,2.5940000000596046,0.000016276041666666666
100,4,296.60000002384186,2.9660000002384184,0.00006510416666666667
100,16,326.5,3.265,0.00026041666666666666
100,63,358.80000001192093,3.588000000119209,0.001025390625
100,251,222.30000001192093,2.2230000001192094,0.0040852864583333336
100,1000,301.09999999403954,3.0109999999403954,0.016276041666666668
100,3981,289.40000000596046,2.8940000000596044,0.064794921875
100,15849,297.69999998807907,2.976999999880791,0.257958984375
100,63096,307.59999999403954,3.0759999999403953,1.026953125
100,251189,354.5,3.545,4.088362630208334
200,1,737.3000000119209,3.6865000000596044,0.000016276041666666666
200,4,481.60000002384186,2.4080000001192094,0.00006510416666666667
200,16,488.19999998807907,2.4409999999403955,0.00026041666666666666
200,63,498.80000001192093,2.4940000000596045,0.001025390625
200,251,516.4000000059605,2.5820000000298022,0.0040852864583333336
200,1000,463.69999998807907,2.3184999999403955,0.016276041666666668
200,3981,560,2.8,0.064794921875
200,15849,510.09999999403954,2.5504999999701976,0.257958984375
200,63096,492.5,2.4625,1.026953125
200,251189,651.1999999880791,3.2559999999403955,4.088362630208334
300,1,1213.300000011921,4.0443333333730696,0.000016276041666666666
300,4,654.8999999761581,2.182999999920527,0.00006510416666666667
300,16,645.3000000119209,2.1510000000397365,0.00026041666666666666
300,63,659.8000000119209,2.19933333337307,0.001025390625
300,251,797,2.6566666666666667,0.0040852864583333336
300,1000,689.4000000059605,2.298000000019868,0.016276041666666668
300,3981,840.5999999940395,2.801999999980132,0.064794921875
300,15849,795.0999999940395,2.650333333313465,0.257958984375
300,63096,623.8000000119209,2.0793333333730697,1.026953125
300,251189,1625,5.416666666666667,4.088362630208334
400,1,1264.5999999940395,3.161499999985099,0.000016276041666666666
400,4,931.5999999940395,2.3289999999850988,0.00006510416666666667
400,16,841.8999999761581,2.1047499999403954,0.00026041666666666666
400,63,1072.9000000059605,2.682250000014901,0.001025390625
400,251,912.2999999821186,2.2807499999552965,0.0040852864583333336
400,1000,848.3999999761581,2.1209999999403952,0.016276041666666668
400,3981,1087.0999999940395,2.7177499999850987,0.064794921875
400,15849,1052.5999999940395,2.631499999985099,0.257958984375
400,63096,1208.300000011921,3.0207500000298024,1.026953125
400,251189,1026.7999999821186,2.5669999999552964,4.088362630208334
