Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,0,323.69999999925494,3.2369999999925496,0
100,100000,3771.39999999851,37.7139999999851,1.6276041666666667
100,200000,6554.39999999851,65.5439999999851,3.2552083333333335
100,300000,8748.599999997765,87.48599999997765,4.8828125
100,400000,15516.300000000745,155.16300000000746,6.510416666666667
200,0,2247.199999999255,11.235999999996274,0
200,100000,7623.900000002235,38.11950000001118,1.6276041666666667
200,200000,13728.800000000745,68.64400000000373,3.2552083333333335
200,300000,20209.5,101.0475,4.8828125
200,400000,30149.89999999851,150.74949999999254,6.510416666666667
300,0,2586.400000002235,8.621333333340784,0
300,100000,11523.400000002235,38.411333333340785,1.6276041666666667
300,200000,21710.699999999255,72.36899999999751,3.2552083333333335
300,300000,32210.599999997765,107.36866666665922,4.8828125
300,400000,42951.800000000745,143.17266666666916,6.510416666666667
400,0,6084.300000000745,15.210750000001863,0
400,100000,16052.699999999255,40.131749999998135,1.6276041666666667
400,200000,27188.599999997765,67.9714999999944,3.2552083333333335
400,300000,42079.099999997765,105.19774999999441,4.8828125
400,400000,60369.5,150.92375,6.510416666666667
500,0,3601.300000000745,7.20260000000149,0
500,100000,19458.099999997765,38.91619999999553,1.6276041666666667
500,200000,37100.300000000745,74.20060000000149,3.2552083333333335
500,300000,55382.60000000149,110.76520000000298,4.8828125
500,400000,71967.39999999851,143.934799999997,6.510416666666667
600,0,4026.7000000029802,6.711166666671634,0
600,100000,22850.89999999851,38.08483333333085,1.6276041666666667
600,200000,42891.300000000745,71.48550000000124,3.2552083333333335
600,300000,63999.599999997765,106.66599999999627,4.8828125
600,400000,83320.60000000149,138.86766666666915,6.510416666666667
