Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,350.69999998807907,3.5069999998807906,0.000016276041666666666
100,4,274.5,2.745,0.00006510416666666667
100,16,332.69999998807907,3.326999999880791,0.00026041666666666666
100,63,244.69999998807907,2.4469999998807905,0.001025390625
100,251,256.0999999642372,2.5609999996423722,0.0040852864583333336
100,1000,295.9000000357628,2.959000000357628,0.016276041666666668
100,3981,372.10000002384186,3.7210000002384187,0.064794921875
100,15849,397.7000000476837,3.977000000476837,0.257958984375
100,63096,5515.099999964237,55.15099999964237,1.026953125
100,251189,10017.600000023842,100.17600000023842,4.088362630208334
200,1,478.30000001192093,2.3915000000596045,0.000016276041666666666
200,4,316.5,1.5825,0.00006510416666666667
200,16,308.5999999642372,1.542999999821186,0.00026041666666666666
200,63,326.60000002384186,1.6330000001192093,0.001025390625
200,251,389.80000001192093,1.9490000000596046,0.0040852864583333336
200,1000,314.5,1.5725,0.016276041666666668
200,3981,688.1999999880791,3.4409999999403955,0.064794921875
200,15849,1773.1000000238419,8.865500000119209,0.257958984375
200,63096,5182.899999976158,25.91449999988079,1.026953125
200,251189,16611.700000047684,83.05850000023842,4.088362630208334
300,1,970.2000000476837,3.2340000001589457,0.000016276041666666666
300,4,512.8000000119209,1.7093333333730698,0.00006510416666666667
300,16,421.5,1.405,0.00026041666666666666
300,63,423.5999999642372,1.4119999998807906,0.001025390625
300,251,452.5,1.5083333333333333,0.0040852864583333336
300,1000,403.5,1.345,0.016276041666666668
300,3981,674.5,2.2483333333333335,0.064794921875
300,15849,2011.300000011921,6.70433333337307,0.257958984375
300,63096,6725.800000011921,22.41933333337307,1.026953125
300,251189,23838.69999998808,79.4623333332936,4.088362630208334
400,1,530.0999999642372,1.3252499999105931,0.000016276041666666666
400,4,576.6999999880791,1.4417499999701977,0.00006510416666666667
400,16,481.10000002384186,1.2027500000596048,0.00026041666666666666
400,63,521.4000000357628,1.303500000089407,0.001025390625
400,251,466.39999997615814,1.1659999999403954,0.0040852864583333336
400,1000,529.8000000119209,1.3245000000298024,0.016276041666666668
400,3981,648.1999999880791,1.6204999999701977,0.064794921875
400,15849,1709.1000000238419,4.272750000059605,0.257958984375
400,63096,8674.100000023842,21.685250000059604,1.026953125
400,251189,38457.80000001192,96.14450000002981,4.088362630208334
