Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,342.09999999403954,3.4209999999403955,0.000016276041666666666
100,4,297.19999998807907,2.971999999880791,0.00006510416666666667
100,16,310.5,3.105,0.00026041666666666666
100,63,319.09999999403954,3.1909999999403955,0.001025390625
100,251,282.69999998807907,2.826999999880791,0.0040852864583333336
100,1000,333.80000001192093,3.338000000119209,0.016276041666666668
100,3981,1253.4000000059605,12.534000000059605,0.064794921875
100,15849,605.2000000178814,6.052000000178814,0.257958984375
100,63096,2585.199999988079,25.85199999988079,1.026953125
100,251189,9293.799999982119,92.93799999982119,4.088362630208334
200,1,2084.9000000059605,10.424500000029802,0.000016276041666666666
200,4,549.9000000059605,2.749500000029802,0.00006510416666666667
200,16,528.8000000119209,2.6440000000596044,0.00026041666666666666
200,63,507.59999999403954,2.537999999970198,0.001025390625
200,251,533.6999999880791,2.6684999999403956,0.0040852864583333336
200,1000,499.30000001192093,2.4965000000596045,0.016276041666666668
200,3981,605.6999999880791,3.0284999999403954,0.064794921875
200,15849,1663.7999999821186,8.318999999910593,0.257958984375
200,63096,4995.699999988079,24.978499999940396,1.026953125
200,251189,18757,93.785,4.088362630208334
300,1,1437.8999999761581,4.792999999920527,0.000016276041666666666
300,4,758,2.526666666666667,0.00006510416666666667
300,16,769.0999999940395,2.5636666666467987,0.00026041666666666666
300,63,782.3999999761581,2.6079999999205272,0.001025390625
300,251,722,2.4066666666666667,0.0040852864583333336
300,1000,784.8000000119209,2.6160000000397363,0.016276041666666668
300,3981,799.3000000119209,2.6643333333730697,0.064794921875
300,15849,3082.9000000059605,10.276333333353202,0.257958984375
300,63096,7906.699999988079,26.35566666662693,1.026953125
300,251189,28842.09999999404,96.14033333331346,4.088362630208334
400,1,1866.0999999940395,4.6652499999850985,0.000016276041666666666
400,4,1079.5999999940395,2.698999999985099,0.00006510416666666667
400,16,1122.2000000178814,2.8055000000447037,0.00026041666666666666
400,63,1063.5999999940395,2.658999999985099,0.001025390625
400,251,1006.6999999880791,2.5167499999701977,0.0040852864583333336
400,1000,1038.2000000178814,2.5955000000447033,0.016276041666666668
400,3981,1199.5,2.99875,0.064794921875
400,15849,3358,8.395,0.257958984375
400,63096,11241.799999982119,28.104499999955298,1.026953125
400,251189,39958.5,99.89625,4.088362630208334
500,1,1702.7999999821186,3.4055999999642372,0.000016276041666666666
500,4,1387.8999999761581,2.775799999952316,0.00006510416666666667
500,16,1298.199999988079,2.5963999999761582,0.00026041666666666666
500,63,1313.5,2.627,0.001025390625
500,251,1199.800000011921,2.3996000000238418,0.0040852864583333336
500,1000,1506.300000011921,3.0126000000238418,0.016276041666666668
500,3981,1684.8999999761581,3.3697999999523165,0.064794921875
500,15849,4412.5,8.825,0.257958984375
500,63096,13100,26.2,1.026953125
500,251189,51748.40000000596,103.49680000001192,4.088362630208334
