Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,1,193.5,1.935,0.000016276041666666666
100,4,178.90000000037253,1.7890000000037254,0.00006510416666666667
100,16,217.59999999962747,2.1759999999962747,0.00026041666666666666
100,63,240,2.4,0.001025390625
100,251,235.40000000037253,2.354000000003725,0.0040852864583333336
100,1000,216.20000000018626,2.1620000000018624,0.016276041666666668
100,3981,232.79999999981374,2.3279999999981373,0.064794921875
100,15849,181.6000000005588,1.816000000005588,0.257958984375
100,63096,395.5,3.955,1.026953125
100,251189,394.5,3.945,4.088362630208334
200,1,701.2999999998137,3.5064999999990687,0.000016276041666666666
200,4,289.8999999994412,1.449499999997206,0.00006510416666666667
200,16,400.5,2.0025,0.00026041666666666666
200,63,548.2999999998137,2.7414999999990686,0.001025390625
200,251,399.30000000074506,1.9965000000037252,0.0040852864583333336
200,1000,565.3999999994412,2.826999999997206,0.016276041666666668
200,3981,563,2.815,0.064794921875
200,15849,314.40000000037253,1.5720000000018626,0.257958984375
200,63096,468.79999999981374,2.3439999999990686,1.026953125
200,251189,710,3.55,4.088362630208334
300,1,1939.0999999996275,6.463666666665425,0.000016276041666666666
300,4,564.2999999998137,1.8809999999993792,0.00006510416666666667
300,16,395.59999999962747,1.318666666665425,0.00026041666666666666
300,63,718.2999999998137,2.3943333333327126,0.001025390625
300,251,559,1.8633333333333333,0.0040852864583333336
300,1000,714.2000000001863,2.3806666666672878,0.016276041666666668
300,3981,1042.5999999996275,3.4753333333320917,0.064794921875
300,15849,631.7999999998137,2.105999999999379,0.257958984375
300,63096,871.1000000005588,2.903666666668529,1.026953125
300,251189,3093.7000000001863,10.312333333333955,4.088362630208334
400,1,931.9000000003725,2.3297500000009315,0.000016276041666666666
400,4,599.1999999992549,1.4979999999981373,0.00006510416666666667
400,16,851.2999999998137,2.128249999999534,0.00026041666666666666
400,63,999.2000000001863,2.4980000000004656,0.001025390625
400,251,963.2999999998137,2.4082499999995344,0.0040852864583333336
400,1000,714.5,1.78625,0.016276041666666668
400,3981,1137.2000000001863,2.843000000000466,0.064794921875
400,15849,889.4000000003725,2.2235000000009313,0.257958984375
400,63096,1074.2999999998137,2.6857499999995342,1.026953125
400,251189,3316.2999999998137,8.290749999999534,4.088362630208334
