Trials,Size Response (bytes),Time,Average Latency (ms),Num Packets Transferred
100,63,335.1000000000349,3.351000000000349,0.001025390625
100,251,252.90000000002328,2.5290000000002326,0.0040852864583333336
100,1000,306.8999999999651,3.068999999999651,0.016276041666666668
100,3981,332.79999999998836,3.3279999999998835,0.064794921875
100,15849,312.9000000000233,3.1290000000002327,0.257958984375
100,63096,407.9000000000233,4.079000000000232,1.026953125
100,251189,1127.0999999999767,11.270999999999766,4.088362630208334
200,63,556.4000000000233,2.7820000000001164,0.001025390625
200,251,579.1000000000349,2.8955000000001747,0.0040852864583333336
200,1000,536,2.68,0.016276041666666668
200,3981,552.6000000000349,2.7630000000001744,0.064794921875
200,15849,535.4000000000233,2.6770000000001164,0.257958984375
200,63096,696.6000000000349,3.4830000000001746,1.026953125
200,251189,2196.3000000000466,10.981500000000233,4.088362630208334
300,63,726.3000000000466,2.4210000000001553,0.001025390625
300,251,926.7000000000116,3.0890000000000386,0.0040852864583333336
300,1000,814.7000000000116,2.7156666666667055,0.016276041666666668
300,3981,831.4000000000233,2.771333333333411,0.064794921875
300,15849,750.5,2.5016666666666665,0.257958984375
300,63096,1123.0999999999767,3.743666666666589,1.026953125
300,251189,3066.2999999999884,10.220999999999961,4.088362630208334
400,63,1060.600000000035,2.6515000000000875,0.001025390625
400,251,1163.7000000000116,2.909250000000029,0.0040852864583333336
400,1000,986.4000000000233,2.4660000000000584,0.016276041666666668
400,3981,986.7999999999884,2.4669999999999708,0.064794921875
400,15849,1132.2000000000116,2.830500000000029,0.257958984375
400,63096,1418.4000000000233,3.546000000000058,1.026953125
400,251189,4327.799999999988,10.819499999999971,4.088362630208334
