rtt,throughput
43.44444444444444,24.1287168
38.8,15.220736
42.7,13.4168576
35.1,17.0754048
25.8,14.303232
22.5,14.8553728
34.3,17.7815552
33.6,18.8678144
15.5,15.9285248
27.5,14.5424384
21.6,16.2742272
37.5,19.3134592
29.1,15.48288
27.4,15.31904
19.7,19.4035712
46.6,10.1613568
32.5,11.3885184
45.5,10.6315776
27.6,14.7161088
50.6,13.3922816
50.4,8.9636864
53.9,9.027584
66.5,7.8987264
49.7,10.862592
45,6.1325312
47.5,7.3859072
65,7.2450048
76.2,5.668864
66.3,7.6546048
80.6,5.8916864
93.8,7.4252288
82.7,6.6863104
76.8,6.3848448
97,7.0926336
80.2,4.34176
92.8,5.2248576
99,6.0145664
91.4,6.029312
97.9,3.801088
89,3.8567936
94,4.481024
99,5.1544064
99.4,3.776512
93.7,9.2143616
117.6,6.6699264
125,4.9872896
109.4,3.3865728
115.6,2.9360128
108.5,4.8021504
129,2.4870912
119.1,5.0905088
122.4,5.2281344
134.1,2.940928
133.6,3.170304
128,2.9442048
148.7,3.2571392
155,2.2708224
140,3.866624
144.5,3.3275904
150.5,3.4439168
151.1,2.7213824
170.2,2.9442048
183.9,4.4351488
