rtt,throughput
322.5,8.84736
328,9.584436724565757
331,8.511035175879398
366,9.330062578222778
289,10.811003717472119
256.5,9.998756892230576
197,10.829927044025156
245.5,9.330062578222778
244,11.2128
296.5,11.082693266832917
256.5,11.17834706616729
259,7.752778054862843
271,10.943121098626717
260.5,8.447361596009975
376,5.3795156054931335
310.5,10.735401496259351
329,11.858992518703243
212.5,10.804696315120712
210,9.7792
246,10.196534332084894
170,11.832888888888888
159,10.447619524405507
244,10.056597014925373
219.5,11.932498113207547
204,8.866154613466334
206.5,11.6289900990099
250,10.288579275905118
201.5,11.930700379266751
173,9.896100250626567
235.5,11.50561797752809
163,9.54368
128,11.695561097256858
162,9.6768
234,11.389127182044888
251.5,10.564714107365793
180.5,11.270392009987516
103,10.560400500625782
171.5,10.252880503144654
136,11.44649504950495
165,9.755833122629582
105.5,11.638571785268415
108.5,11.311300873907616
129,11.597662921348315
143.5,10.929476309226933
57,9.63403745318352
156,11.963411320754718
112,9.392814906832298
155.5,10.943121098626717
127,8.408938209331652
176,9.98082382133995
116.5,11.75149622166247
62,10.891985018726592
200.5,10.615850187265918
130,11.2614335839599
102.5,11.672327950310558
96,10.878403990024937
124,8.324953807740325
226,12.563790523690773
96.5,9.169688442211056
132,12.155542288557214
156.5,9.104526582278481
125,11.270392009987516
153.5,9.7792
141,12.512718204488777
108,11.270392009987516
229.5,9.295162094763093
123.5,11.503879093198993
59,11.993250620347395
180.5,9.754812967581048
161,11.384090794451451
238.5,10.919249061326658
113.5,9.12384
182,12.26752
151,9.427950124688278
103,11.740843945068665
190,9.427950124688278
105,11.58320199501247
143.5,11.873797752808988
178.5,10.011302383939775
119,11.52571712158809
194,11.178450632911392
96,9.574272952853597
132,9.731228247162674
128,12.712429463171036
51,8.601088639200999
132,12.563790523690773
78.5,11.162499372647428
179,9.79767290886392
105,11.81479751552795
47,10.069120797011207
158,10.615850187265918
156.5,12.339717171717172
160,10.011302383939775
146.5,9.112449438202248
152,11.88864
137,10.602613466334164
154,12.088070087609513
200,9.295162094763093
116,11.844224159402241
52,9.62202493765586
90,10.615850187265918
146,10.816321608040202
219,10.484115432873274
82.5,11.460577164366374
65,9.97376
97,12.18585536159601
142.5,11.2563391521197
138,11.752844221105528
109.5,8.912733581164808
132,11.93984
198,8.968299251870324
155.5,10.870949494949494
173,10.473188118811882
114,12.40709987357775
234,10.01472
209.5,9.163585518102373
144,11.781752808988765
162.5,12.001995012468829
109.5,9.237787234042553
144.5,12.051889724310778
93,9.283586550435865
111.5,11.850957816377171
94,11.346747474747474
