rtt,throughput
16.142857142857142,137.109504
16.2,137.306112
17.2,192.790528
17,228.909056
17,225.386496
18.2,226.705408
19,183.230464
19,185.925632
18.6,228.417536
18.5,118.734848
18.5,3.8912
70.45,3.899392
278.25,3.8912
278.25,3.907584
279.45,3.915776
280.25,3.907584
280.25,3.940352
276.25,3.948544
275.25,24.264704
156.45,10.084352
126.75,8.11008
126,8.331264
123,10.051584
123,8.23296
123.7,7.069696
124.75,0.016384
124.75,0.024576
124.75,0.016384
130.75,0.016384
130.75,26.304512
127.25,3.825664
448,2.8672
448,2.53952
411,3.03104
411,2.637824
411,2.973696
410,2.924544
410,0.516096
412,16.654336
412,222.363648
9,228.696064
9,231.923712
9,228.974592
18,154.33728
18,226.967552
18,230.842368
17,97.083392
17,5.513216
17,5.382144
434,4.440064
434,5.627904
434,5.595136
440,5.7344
440,4.612096
434,5.77536
434,5.89824
433.6,4.734976
433,5.988352
433,5.226496
422.6,5.677056
420,4.9152
419.6,6.651904
418,21.0944
418,31.653888
147.6,35.848192
80,33.906688
79.4,35.995648
77,38.125568
77,37.117952
84.2,0.098304
89,0.098304
89,37.838848
69,18.587648
64,6.086656
67.2,0.098304
80,0.098304
80,0.53248
50.6,35.88096
31,9.117696
31,10.510336
41.4,13.451264
44,13.500416
40,16.05632
24,23.06048
24,46.800896
13.8,95.879168
7,149.2992
7,213.377024
38.2,0.270336
46,0.114688
42.2,0.12288
27,104.054784
27,142.278656
18,103.071744
12,85.254144
12,47.84128
36,88.571904
36,170.8032
31.4,220.643328
13,0.28672
13,0.106496
13,0.114688
13,0.114688
13,37.838848
32,70.00064
32,62.2592
43,25.878528
87,26.86976
87,41.86112
39,40.607744
7,0.114688
7,0.12288
40,0.12288
40,49.569792
42.8,8.3968
54,8.249344
54,9.814016
52.8,11.894784
52,12.763136
52,15.089664
76,15.712256
76,18.243584
74.2,18.440192
67,20.23424
67,22.60992
75.4,23.199744
81,49.143808
81,30.343168
31,9.019392
31,0.106496
41.8,0.114688
85,0.090112
85,48.668672
86.2,18.55488
87,24.625152
87,42.295296
10,57.204736
10,63.250432
21.6,66.076672
39,0.131072
39,51.093504
22.2,34.36544
11,28.737536
11,19.70176
5,10.07616
5,11.264
17.8,20.144128
37,11.75552
37,13.47584
63.4,12.94336
81,12.967936
81,15.015936
85,15.589376
85,16.818176
76.6,19.161088
64,11.870208
64,15.31904
