timestamp,pid,rss,heapTotal,heapUsed,external,cpuPercentage
2024-09-10T00:26:55.780Z,367376,43884544,5152768,3967448,1736922,0.03
2024-09-10T00:26:56.782Z,367376,43884544,5152768,3970536,1736922,0.03
2024-09-10T00:26:57.783Z,367376,43884544,5152768,3973480,1736922,0.03
2024-09-10T00:26:58.784Z,367376,43884544,5152768,3976568,1736922,0.03
2024-09-10T00:26:59.786Z,367376,43884544,5152768,3979512,1736922,0.04
2024-09-10T00:27:00.787Z,367376,43884544,5152768,3982600,1736922,0.04
2024-09-10T00:27:01.788Z,367376,43884544,5152768,3985544,1736922,0.03
2024-09-10T00:27:02.790Z,367376,43884544,5152768,3988632,1736922,0.03
2024-09-10T00:27:03.791Z,367376,43884544,5152768,3991576,1736922,0.03
2024-09-10T00:27:04.793Z,367376,43884544,5152768,3994664,1736922,0.04
2024-09-10T00:27:05.794Z,367376,43884544,5152768,3997608,1736922,0.04
2024-09-10T00:27:06.795Z,367376,43884544,5152768,4000696,1736922,0.04
2024-09-10T00:27:07.796Z,367376,43884544,5152768,4003640,1736922,0.04
2024-09-10T00:27:08.798Z,367376,43884544,5152768,4006728,1736922,0.05
2024-09-10T00:27:09.799Z,367376,43884544,5152768,4009672,1736922,0.07
2024-09-10T00:27:10.801Z,367376,43884544,5152768,4012760,1736922,0.05
2024-09-10T00:27:11.802Z,367376,43884544,5152768,4015704,1736922,0.04
2024-09-10T00:27:12.803Z,367376,43884544,5152768,4018792,1736922,0.03
2024-09-10T00:27:13.805Z,367376,43884544,5152768,4021736,1736922,0.03
2024-09-10T00:27:14.806Z,367376,43884544,5152768,4024824,1736922,0.03
2024-09-10T00:27:15.807Z,367376,43884544,5152768,4027768,1736922,0.03
2024-09-10T00:27:16.809Z,367376,43884544,5152768,4030856,1736922,0.04
2024-09-10T00:27:17.810Z,367376,43884544,5152768,4033800,1736922,0.04
2024-09-10T00:27:18.812Z,367376,43884544,5152768,4036888,1736922,0.05
2024-09-10T00:27:19.813Z,367376,43884544,5152768,4039832,1736922,0.07
2024-09-10T00:27:20.815Z,367376,43884544,5152768,4042920,1736922,0.06
2024-09-10T00:27:21.816Z,367376,43884544,5152768,4045864,1736922,0.04
2024-09-10T00:27:22.818Z,367376,43884544,5152768,4048952,1736922,0.04
2024-09-10T00:27:23.819Z,367376,43884544,5152768,4051896,1736922,0.03
2024-09-10T00:27:24.821Z,367376,43884544,5152768,4054984,1736922,0.03
2024-09-10T00:27:25.822Z,367376,43884544,5152768,4057928,1736922,0.04
2024-09-10T00:27:26.823Z,367376,43884544,5152768,4061016,1736922,0.04
2024-09-10T00:27:27.825Z,367376,43884544,5152768,4063960,1736922,0.04
2024-09-10T00:27:28.826Z,367376,43884544,5152768,4067048,1736922,0.05
2024-09-10T00:27:29.827Z,367376,43884544,5152768,4069992,1736922,0.03
2024-09-10T00:27:30.828Z,367376,43884544,5152768,4073080,1736922,0.03
2024-09-10T00:27:31.830Z,367376,43884544,5152768,4076024,1736922,0.04
2024-09-10T00:27:32.831Z,367376,43884544,5152768,4079112,1736922,0.03
2024-09-10T00:27:33.832Z,367376,43884544,5152768,4082056,1736922,0.03
2024-09-10T00:27:34.833Z,367376,43884544,5152768,4085144,1736922,0.03
2024-09-10T00:27:35.834Z,367376,43884544,5152768,4088088,1736922,0.03
2024-09-10T00:27:36.836Z,367376,43884544,5152768,4091176,1736922,0.03
2024-09-10T00:27:37.837Z,367376,43884544,5152768,4094120,1736922,0.03
2024-09-10T00:27:38.838Z,367376,43884544,5152768,4097208,1736922,0.04
2024-09-10T00:27:39.840Z,367376,43884544,5152768,4100376,1745114,0.05
2024-09-10T00:27:40.841Z,367376,43884544,5152768,4103488,1745114,0.03
2024-09-10T00:27:41.843Z,367376,43884544,5152768,4106432,1745114,0.04
2024-09-10T00:27:42.844Z,367376,43884544,5152768,4109520,1745114,0.04
2024-09-10T00:27:43.846Z,367376,43884544,5152768,4112464,1745114,0.05
2024-09-10T00:27:44.847Z,367376,43884544,5152768,4115552,1745114,0.05
2024-09-10T00:27:45.849Z,367376,43884544,5152768,4118496,1745114,0.05
2024-09-10T00:27:46.850Z,367376,43884544,5152768,4121584,1745114,0.04
2024-09-10T00:27:47.852Z,367376,43884544,5152768,4124528,1745114,0.05
2024-09-10T00:27:48.853Z,367376,43884544,5152768,4127616,1745114,0.04
2024-09-10T00:27:49.855Z,367376,43884544,5152768,4130560,1745114,0.04
2024-09-10T00:27:50.856Z,367376,43884544,5152768,4133648,1745114,0.03
2024-09-10T00:27:51.857Z,367376,43884544,5152768,4136592,1745114,0.03
2024-09-10T00:27:52.859Z,367376,43884544,5152768,4139680,1745114,0.03
2024-09-10T00:27:53.860Z,367376,43884544,5152768,4142624,1745114,0.03
2024-09-10T00:27:54.861Z,367376,44150784,5152768,4145712,1745114,0.03
2024-09-10T00:27:55.863Z,367376,44150784,5152768,4148632,1745114,0.04
2024-09-10T00:27:56.864Z,367376,44150784,5152768,4151672,1745114,0.04
2024-09-10T00:27:57.865Z,367376,44150784,5152768,4154568,1745114,0.06
2024-09-10T00:27:58.867Z,367376,44150784,5152768,4157608,1745114,0.04
2024-09-10T00:27:59.868Z,367376,44150784,5152768,4160504,1745114,0.04
2024-09-10T00:28:00.869Z,367376,44150784,5152768,4163544,1745114,0.03
2024-09-10T00:28:01.871Z,367376,44150784,5152768,4166440,1745114,0.04
2024-09-10T00:28:02.872Z,367376,44150784,5152768,4169480,1745114,0.03
2024-09-10T00:28:03.874Z,367376,44150784,5152768,4172376,1745114,0.03
2024-09-10T00:28:04.875Z,367376,44150784,5152768,4175416,1745114,0.04
2024-09-10T00:28:05.876Z,367376,44150784,5152768,4178312,1745114,0.03
2024-09-10T00:28:06.878Z,367376,44150784,5152768,4181352,1745114,0.04
2024-09-10T00:28:07.879Z,367376,44150784,5152768,4184248,1745114,0.05
2024-09-10T00:28:08.881Z,367376,44150784,5152768,4187288,1745114,0.05
2024-09-10T00:28:09.882Z,367376,44150784,5152768,4190184,1745114,0.06
2024-09-10T00:28:10.884Z,367376,44150784,5152768,4193224,1745114,0.08
2024-09-10T00:28:11.885Z,367376,44150784,5152768,4196120,1745114,0.03
2024-09-10T00:28:12.886Z,367376,44150784,5152768,4199160,1745114,0.04
2024-09-10T00:28:13.888Z,367376,44150784,5152768,4202056,1745114,0.05
2024-09-10T00:28:14.889Z,367376,44150784,5152768,4205096,1745114,0.06
2024-09-10T00:28:15.891Z,367376,44150784,5152768,4207992,1745114,0.04
2024-09-10T00:28:16.892Z,367376,44150784,5152768,4211032,1745114,0.04
2024-09-10T00:28:17.894Z,367376,44150784,5152768,4213928,1745114,0.05
2024-09-10T00:28:18.895Z,367376,44150784,5152768,4216968,1745114,0.04
2024-09-10T00:28:19.897Z,367376,44150784,5152768,4219864,1745114,0.05
2024-09-10T00:28:20.898Z,367376,44150784,5152768,4222904,1745114,0.04
2024-09-10T00:28:21.900Z,367376,44150784,5152768,4225800,1745114,0.05
2024-09-10T00:28:22.902Z,367376,44150784,5152768,4228840,1745114,0.04
2024-09-10T00:28:23.903Z,367376,44150784,5152768,4231736,1745114,0.04
2024-09-10T00:28:24.904Z,367376,44150784,5152768,4234776,1745114,0.04
2024-09-10T00:28:25.906Z,367376,44150784,5152768,4237672,1745114,0.04
2024-09-10T00:28:26.907Z,367376,44150784,5152768,4240712,1745114,0.03
2024-09-10T00:28:27.908Z,367376,44150784,5152768,4243608,1745114,0.04
2024-09-10T00:28:28.910Z,367376,44150784,5152768,4246648,1745114,0.04
2024-09-10T00:28:29.911Z,367376,44150784,5152768,4249544,1745114,0.03
2024-09-10T00:28:30.913Z,367376,44150784,5152768,4252584,1745114,0.04
2024-09-10T00:28:31.914Z,367376,44150784,5152768,4255480,1745114,0.04
2024-09-10T00:28:32.915Z,367376,44150784,5152768,4258520,1745114,0.04
2024-09-10T00:28:33.917Z,367376,44150784,5152768,4261416,1745114,0.05
2024-09-10T00:28:34.919Z,367376,44150784,5152768,4264456,1745114,0.05
2024-09-10T00:28:35.920Z,367376,44150784,5152768,4267352,1745114,0.04
2024-09-10T00:28:36.921Z,367376,44150784,5152768,4270392,1745114,0.04
2024-09-10T00:28:37.923Z,367376,44150784,5152768,4273288,1745114,0.05
2024-09-10T00:28:38.924Z,367376,44150784,5152768,4276328,1745114,0.03
2024-09-10T00:28:39.926Z,367376,44150784,5152768,4279224,1745114,0.04
2024-09-10T00:28:40.927Z,367376,44150784,5152768,4282264,1745114,0.04
2024-09-10T00:28:41.928Z,367376,44150784,5152768,4285160,1745114,0.04
2024-09-10T00:28:42.930Z,367376,44150784,5152768,4288200,1745114,0.04
2024-09-10T00:28:43.931Z,367376,44150784,5152768,4291096,1745114,0.03
2024-09-10T00:28:44.933Z,367376,44150784,5152768,4294136,1745114,0.04
2024-09-10T00:28:45.934Z,367376,44150784,5152768,4297032,1745114,0.03
2024-09-10T00:28:46.935Z,367376,44150784,5152768,4300112,1745114,0.04
