timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-12T20:49:01.037Z,17149952,0.00,1
2024-09-12T20:49:02.047Z,17149952,0.00,1
2024-09-12T20:49:03.055Z,17149952,0.00,1
2024-09-12T20:49:04.062Z,25919488,10.89,1
2024-09-12T20:49:05.071Z,24240128,25.00,1
2024-09-12T20:49:06.080Z,24969216,12.87,1
2024-09-12T20:49:07.090Z,37122048,14.85,1
2024-09-12T20:49:08.099Z,38440960,8.91,1
2024-09-12T20:49:09.105Z,43655168,8.91,1
2024-09-12T20:49:10.113Z,73506816,15.84,1
2024-09-12T20:49:11.121Z,73506816,8.00,1
2024-09-12T20:49:12.128Z,78721024,7.92,1
2024-09-12T20:49:13.136Z,83894272,9.90,1
2024-09-12T20:49:14.143Z,84377600,7.92,1
2024-09-12T20:49:15.152Z,89559040,9.00,1
2024-09-12T20:49:16.160Z,90279936,10.89,1
2024-09-12T20:49:17.170Z,96817152,11.88,1
2024-09-12T20:49:18.178Z,97075200,7.92,1
2024-09-12T20:49:19.186Z,104419328,10.89,1
2024-09-12T20:49:20.193Z,104419328,8.91,1
2024-09-12T20:49:21.201Z,93503488,15.00,1
2024-09-12T20:49:22.208Z,43245568,8.91,1
2024-09-12T20:49:23.215Z,45125632,10.89,1
2024-09-12T20:49:24.235Z,68091904,14.71,1
2024-09-12T20:49:25.242Z,37220352,20.00,1
2024-09-12T20:49:26.248Z,38490112,20.79,1
2024-09-12T20:49:27.255Z,41467904,16.83,1
2024-09-12T20:49:28.263Z,40366080,8.91,1
2024-09-12T20:49:29.270Z,57970688,16.00,1
2024-09-12T20:49:30.278Z,57970688,9.90,1
2024-09-12T20:49:31.286Z,62025728,9.90,1
2024-09-12T20:49:32.293Z,67432448,10.89,1
2024-09-12T20:49:33.301Z,68513792,14.00,1
2024-09-12T20:49:34.309Z,73093120,10.89,1
2024-09-12T20:49:35.317Z,119713792,25.74,1
2024-09-12T20:49:36.330Z,131620864,12.87,1
2024-09-12T20:49:37.336Z,132145152,8.91,1
2024-09-12T20:49:38.343Z,136667136,6.93,1
2024-09-12T20:49:39.351Z,138526720,8.00,1
2024-09-12T20:49:40.357Z,138526720,8.91,1
2024-09-12T20:49:41.366Z,145829888,9.90,1
2024-09-12T20:49:42.375Z,146583552,8.91,1
2024-09-12T20:49:43.383Z,146583552,10.89,1
2024-09-12T20:49:44.392Z,154124288,10.00,1
2024-09-12T20:49:45.402Z,154619904,9.90,1
2024-09-12T20:49:46.410Z,154877952,11.88,1
2024-09-12T20:49:47.418Z,163782656,8.91,1
2024-09-12T20:49:48.426Z,164032512,10.89,1
2024-09-12T20:49:49.436Z,164032512,12.87,1
2024-09-12T20:49:50.442Z,172924928,8.91,1
2024-09-12T20:49:51.450Z,190808064,9.00,1
2024-09-12T20:49:52.459Z,192860160,10.89,1
2024-09-12T20:49:53.466Z,193101824,9.90,1
2024-09-12T20:49:54.473Z,193101824,7.92,1
2024-09-12T20:49:55.480Z,195670016,9.00,1
2024-09-12T20:49:56.489Z,203571200,8.91,1
2024-09-12T20:49:57.497Z,204038144,13.86,1
2024-09-12T20:49:58.504Z,204038144,10.89,1
2024-09-12T20:49:59.514Z,206426112,14.85,1
2024-09-12T20:50:00.522Z,206426112,8.00,1
2024-09-12T20:50:01.530Z,206655488,8.91,1
2024-09-12T20:50:02.543Z,228700160,21.57,1
2024-09-12T20:50:03.552Z,235139072,11.00,1
2024-09-12T20:50:04.558Z,244023296,23.76,1
2024-09-12T20:50:05.565Z,264814592,16.83,1
2024-09-12T20:50:06.572Z,206684160,24.00,1
2024-09-12T20:50:07.578Z,76886016,14.85,1
2024-09-12T20:50:08.585Z,51859456,12.87,1
2024-09-12T20:50:09.592Z,78524416,25.00,1
2024-09-12T20:50:10.599Z,82849792,7.92,1
2024-09-12T20:50:11.607Z,83120128,7.92,1
2024-09-12T20:50:12.615Z,83120128,8.91,1
2024-09-12T20:50:13.622Z,87175168,9.00,1
2024-09-12T20:50:14.631Z,90955776,8.91,1
2024-09-12T20:50:15.638Z,92307456,13.86,1
2024-09-12T20:50:16.646Z,96354304,7.92,1
2024-09-12T20:50:17.653Z,97435648,11.88,1
2024-09-12T20:50:18.662Z,100675584,10.00,1
2024-09-12T20:50:19.668Z,135151616,29.70,1
2024-09-12T20:50:20.675Z,171102208,14.85,1
2024-09-12T20:50:21.682Z,171102208,8.00,1
2024-09-12T20:50:22.688Z,178397184,9.90,1
2024-09-12T20:50:23.698Z,195424256,11.88,1
2024-09-12T20:50:24.705Z,196235264,11.88,1
2024-09-12T20:50:25.712Z,196235264,10.89,1
2024-09-12T20:50:26.721Z,197586944,9.00,1
2024-09-12T20:50:27.727Z,205967360,9.90,1
2024-09-12T20:50:28.735Z,206508032,9.90,1
2024-09-12T20:50:29.742Z,206508032,7.00,1
2024-09-12T20:50:30.748Z,208670720,8.91,1
2024-09-12T20:50:31.755Z,215158784,12.87,1
2024-09-12T20:50:32.762Z,215158784,8.91,1
2024-09-12T20:50:33.769Z,215158784,9.00,1
2024-09-12T20:50:34.776Z,222724096,10.89,1
2024-09-12T20:50:35.783Z,241106944,13.86,1
