timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-12T21:41:52.231Z,32182272,0.00,1
2024-09-12T21:41:53.239Z,32182272,0.99,1
2024-09-12T21:41:54.250Z,32669696,1.98,1
2024-09-12T21:41:55.257Z,50835456,61.39,1
2024-09-12T21:41:56.264Z,79421440,82.18,1
2024-09-12T21:41:57.274Z,175902720,90.10,1
2024-09-12T21:41:58.284Z,157896704,110.89,1
2024-09-12T21:41:59.299Z,135737344,117.82,1
2024-09-12T21:42:00.307Z,136552448,115.84,1
2024-09-12T21:42:01.323Z,232456192,127.45,1
2024-09-12T21:42:02.331Z,313806848,59.00,1
2024-09-12T21:42:03.338Z,304943104,53.47,1
2024-09-12T21:42:04.345Z,215093248,109.90,1
2024-09-12T21:42:05.354Z,186261504,117.82,1
2024-09-12T21:42:06.366Z,198414336,116.83,1
2024-09-12T21:42:07.381Z,194949120,116.83,1
2024-09-12T21:42:08.402Z,206303232,114.71,1
2024-09-12T21:42:09.420Z,243322880,98.04,1
2024-09-12T21:42:10.427Z,369152000,79.21,1
2024-09-12T21:42:11.435Z,371585024,3.96,1
2024-09-12T21:42:12.456Z,374337536,44.12,1
2024-09-12T21:42:13.464Z,267472896,113.86,1
2024-09-12T21:42:14.475Z,185221120,116.83,1
2024-09-12T21:42:15.481Z,179568640,115.00,1
2024-09-12T21:42:16.491Z,194830336,114.85,1
2024-09-12T21:42:17.510Z,191860736,115.69,1
2024-09-12T21:42:18.517Z,199831552,112.87,1
2024-09-12T21:42:19.526Z,207114240,102.97,1
2024-09-12T21:42:20.536Z,238669824,111.88,1
2024-09-12T21:42:21.545Z,306671616,92.08,1
2024-09-12T21:42:22.551Z,372092928,30.00,1
2024-09-12T21:42:23.558Z,381546496,15.84,1
2024-09-12T21:42:24.566Z,364838912,39.60,1
2024-09-12T21:42:25.573Z,358150144,3.96,1
2024-09-12T21:42:26.582Z,333316096,2.00,1
2024-09-12T21:42:27.591Z,333316096,0.00,1
2024-09-12T21:42:28.598Z,333316096,0.99,1
2024-09-12T21:42:29.606Z,333586432,0.00,1
2024-09-12T21:42:30.613Z,333586432,0.99,1
2024-09-12T21:42:31.620Z,333586432,0.00,1
2024-09-12T21:42:32.630Z,333586432,0.00,1
2024-09-12T21:42:33.638Z,333586432,0.99,1
2024-09-12T21:42:34.645Z,333852672,0.00,1
2024-09-12T21:42:35.654Z,333852672,0.00,1
2024-09-12T21:42:36.661Z,334118912,1.00,1
2024-09-12T21:42:37.670Z,334118912,0.00,1
2024-09-12T21:42:38.678Z,334118912,0.99,1
