timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-13T22:14:17.891Z,238616576,11.00,1
2024-09-13T22:14:18.898Z,238886912,9.90,1
2024-09-13T22:14:19.906Z,238886912,9.90,1
2024-09-13T22:14:20.913Z,238886912,6.93,1
2024-09-13T22:14:21.920Z,238886912,9.00,1
2024-09-13T22:14:22.928Z,238886912,8.91,1
2024-09-13T22:14:23.935Z,256802816,8.91,1
2024-09-13T22:14:24.942Z,273797120,10.89,1
2024-09-13T22:14:25.949Z,274333696,10.00,1
2024-09-13T22:14:26.955Z,274333696,9.90,1
2024-09-13T22:14:27.962Z,274333696,8.00,1
2024-09-13T22:14:28.969Z,274333696,7.92,1
2024-09-13T22:14:29.976Z,274333696,6.93,1
2024-09-13T22:14:30.982Z,274333696,8.00,1
2024-09-13T22:14:31.989Z,282570752,7.92,1
2024-09-13T22:14:32.998Z,293617664,9.90,1
2024-09-13T22:14:34.004Z,294117376,10.89,1
2024-09-13T22:14:35.011Z,294117376,8.00,1
2024-09-13T22:14:36.019Z,294117376,7.92,1
2024-09-13T22:14:37.027Z,294117376,8.91,1
2024-09-13T22:14:38.034Z,294117376,6.93,1
2024-09-13T22:14:39.042Z,294117376,12.00,1
2024-09-13T22:14:40.047Z,298721280,10.89,1
2024-09-13T22:14:41.053Z,314728448,11.88,1
2024-09-13T22:14:42.060Z,319438848,20.00,1
2024-09-13T22:14:43.066Z,319438848,7.92,1
2024-09-13T22:14:44.074Z,324038656,12.87,1
2024-09-13T22:14:45.097Z,371458048,27.45,1
2024-09-13T22:14:46.103Z,391983104,14.85,1
2024-09-13T22:14:47.128Z,394006528,18.63,1
2024-09-13T22:14:48.135Z,394006528,18.81,1
2024-09-13T22:14:49.142Z,418287616,23.00,1
2024-09-13T22:14:50.151Z,418287616,8.91,1
2024-09-13T22:14:51.157Z,418287616,9.90,1
2024-09-13T22:14:52.164Z,418287616,9.90,1
2024-09-13T22:14:53.172Z,399757312,24.00,1
2024-09-13T22:14:54.182Z,255565824,10.89,1
2024-09-13T22:14:55.189Z,249077760,8.91,1
2024-09-13T22:14:56.197Z,116371456,9.90,1
2024-09-13T22:14:57.202Z,116371456,7.92,1
2024-09-13T22:14:58.210Z,116371456,10.00,1
2024-09-13T22:14:59.217Z,116371456,8.91,1
2024-09-13T22:15:00.223Z,116371456,10.89,1
2024-09-13T22:15:01.232Z,116371456,9.00,1
2024-09-13T22:15:02.240Z,122032128,10.89,1
2024-09-13T22:15:03.247Z,122572800,10.89,1
2024-09-13T22:15:04.254Z,132026368,10.89,1
2024-09-13T22:15:05.269Z,144994304,15.84,1
2024-09-13T22:15:06.277Z,217845760,37.62,1
2024-09-13T22:15:07.285Z,217845760,7.92,1
2024-09-13T22:15:08.292Z,226226176,11.00,1
2024-09-13T22:15:09.299Z,243527680,8.91,1
2024-09-13T22:15:10.308Z,257044480,7.92,1
2024-09-13T22:15:11.315Z,262451200,14.85,1
2024-09-13T22:15:12.322Z,262721536,8.00,1
2024-09-13T22:15:13.331Z,262721536,7.92,1
2024-09-13T22:15:14.338Z,262721536,7.92,1
2024-09-13T22:15:15.345Z,262721536,7.92,1
2024-09-13T22:15:16.353Z,262721536,8.91,1
2024-09-13T22:15:17.360Z,262721536,12.00,1
2024-09-13T22:15:18.368Z,262721536,9.90,1
2024-09-13T22:15:19.375Z,262721536,7.92,1
2024-09-13T22:15:20.382Z,262721536,9.00,1
2024-09-13T22:15:21.387Z,262721536,8.91,1
2024-09-13T22:15:22.396Z,270827520,12.87,1
2024-09-13T22:15:23.404Z,270827520,8.91,1
2024-09-13T22:15:24.411Z,270827520,14.00,1
2024-09-13T22:15:25.418Z,270827520,11.88,1
2024-09-13T22:15:26.425Z,273801216,10.89,1
2024-09-13T22:15:27.432Z,284073984,12.00,1
2024-09-13T22:15:28.438Z,284344320,7.92,1
2024-09-13T22:15:29.445Z,284344320,8.91,1
2024-09-13T22:15:30.451Z,284344320,12.00,1
2024-09-13T22:15:31.459Z,284344320,8.91,1
2024-09-13T22:15:32.466Z,303804416,10.89,1
2024-09-13T22:15:33.472Z,307859456,15.00,1
2024-09-13T22:15:34.479Z,307859456,14.85,1
2024-09-13T22:15:35.485Z,307859456,8.91,1
2024-09-13T22:15:36.491Z,307859456,8.00,1
2024-09-13T22:15:37.498Z,307859456,8.91,1
2024-09-13T22:15:38.506Z,311914496,10.89,1
2024-09-13T22:15:39.512Z,328404992,12.00,1
2024-09-13T22:15:40.518Z,347058176,13.86,1
2024-09-13T22:15:41.524Z,360304640,13.86,1
2024-09-13T22:15:42.533Z,360845312,9.00,1
2024-09-13T22:15:43.542Z,360845312,9.90,1
2024-09-13T22:15:44.548Z,360845312,8.91,1
2024-09-13T22:15:45.554Z,360845312,8.91,1
2024-09-13T22:15:46.562Z,360845312,15.00,1
2024-09-13T22:15:47.568Z,360845312,8.91,1
2024-09-13T22:15:48.576Z,360845312,9.90,1
2024-09-13T22:15:49.585Z,377876480,8.91,1
2024-09-13T22:15:50.592Z,380301312,11.88,1
2024-09-13T22:15:51.602Z,380841984,8.00,1
2024-09-13T22:15:52.608Z,380841984,10.89,1
2024-09-13T22:15:53.616Z,380841984,9.90,1
2024-09-13T22:15:54.623Z,380841984,9.90,1
2024-09-13T22:15:55.640Z,380841984,8.91,1
2024-09-13T22:15:56.646Z,380841984,8.91,1
2024-09-13T22:15:57.654Z,386412544,9.90,1
2024-09-13T22:15:58.660Z,401780736,10.00,1
2024-09-13T22:15:59.666Z,402317312,1.98,1
