timestamp,totalMemory,totalCpuPercentage,processCount
2024-09-13T21:49:50.519Z,17641472,0.00,1
2024-09-13T21:49:51.525Z,17641472,0.00,1
2024-09-13T21:49:52.534Z,17641472,0.00,1
2024-09-13T21:49:53.541Z,17641472,0.00,1
2024-09-13T21:49:54.550Z,17641472,0.00,1
2024-09-13T21:49:55.558Z,18296832,0.99,1
2024-09-13T21:49:56.564Z,24436736,24.75,1
2024-09-13T21:49:57.570Z,35532800,22.00,1
2024-09-13T21:49:58.577Z,41918464,15.84,1
2024-09-13T21:49:59.586Z,43524096,8.91,1
2024-09-13T21:50:00.595Z,43524096,12.87,1
2024-09-13T21:50:01.603Z,45346816,8.91,1
2024-09-13T21:50:02.611Z,78585856,20.00,1
2024-09-13T21:50:03.618Z,84054016,11.88,1
2024-09-13T21:50:04.625Z,85069824,14.85,1
2024-09-13T21:50:05.632Z,86790144,10.00,1
2024-09-13T21:50:06.640Z,88907776,9.90,1
2024-09-13T21:50:07.647Z,89391104,15.84,1
2024-09-13T21:50:08.653Z,94351360,12.87,1
2024-09-13T21:50:09.661Z,98791424,9.00,1
2024-09-13T21:50:10.669Z,106409984,10.89,1
2024-09-13T21:50:11.678Z,106676224,8.91,1
2024-09-13T21:50:12.686Z,116293632,14.85,1
2024-09-13T21:50:13.695Z,116293632,10.89,1
2024-09-13T21:50:14.701Z,116293632,11.00,1
2024-09-13T21:50:15.707Z,129892352,16.83,1
2024-09-13T21:50:16.714Z,138391552,20.79,1
2024-09-13T21:50:17.722Z,156676096,22.00,1
2024-09-13T21:50:18.731Z,76787712,21.78,1
2024-09-13T21:50:19.747Z,38617088,13.73,1
2024-09-13T21:50:20.756Z,60776448,8.91,1
2024-09-13T21:50:21.764Z,61317120,7.92,1
2024-09-13T21:50:22.771Z,61317120,9.00,1
2024-09-13T21:50:23.779Z,63746048,7.92,1
2024-09-13T21:50:24.787Z,66174976,8.91,1
2024-09-13T21:50:25.794Z,73474048,9.90,1
2024-09-13T21:50:26.801Z,75636736,10.00,1
2024-09-13T21:50:27.809Z,122281984,25.74,1
2024-09-13T21:50:28.819Z,122552320,8.91,1
2024-09-13T21:50:29.826Z,129769472,7.92,1
2024-09-13T21:50:30.834Z,138420224,12.87,1
2024-09-13T21:50:31.843Z,138420224,8.00,1
2024-09-13T21:50:32.850Z,146223104,10.89,1
2024-09-13T21:50:33.856Z,146223104,8.91,1
2024-09-13T21:50:34.864Z,146223104,8.91,1
2024-09-13T21:50:35.872Z,159141888,12.00,1
2024-09-13T21:50:36.878Z,159412224,11.88,1
2024-09-13T21:50:37.886Z,159412224,10.89,1
2024-09-13T21:50:38.893Z,166817792,9.90,1
2024-09-13T21:50:39.900Z,169975808,11.00,1
2024-09-13T21:50:40.906Z,169975808,8.91,1
2024-09-13T21:50:41.914Z,171020288,8.91,1
2024-09-13T21:50:42.920Z,191893504,13.00,1
2024-09-13T21:50:43.927Z,192659456,9.90,1
2024-09-13T21:50:44.934Z,192659456,9.90,1
2024-09-13T21:50:45.942Z,192659456,10.00,1
2024-09-13T21:50:46.947Z,202330112,8.91,1
2024-09-13T21:50:47.955Z,208351232,9.90,1
2024-09-13T21:50:48.962Z,208351232,9.00,1
2024-09-13T21:50:49.969Z,208351232,8.91,1
2024-09-13T21:50:50.975Z,208351232,8.91,1
2024-09-13T21:50:51.982Z,222482432,14.00,1
2024-09-13T21:50:52.988Z,229289984,20.79,1
2024-09-13T21:50:53.995Z,260706304,22.77,1
2024-09-13T21:50:55.002Z,299839488,24.75,1
2024-09-13T21:50:56.017Z,300101632,20.79,1
2024-09-13T21:50:57.024Z,154644480,17.82,1
2024-09-13T21:50:58.031Z,62050304,13.00,1
2024-09-13T21:50:59.039Z,79327232,20.79,1
2024-09-13T21:51:00.047Z,82841600,9.90,1
2024-09-13T21:51:01.054Z,82841600,8.91,1
2024-09-13T21:51:02.061Z,87707648,9.00,1
2024-09-13T21:51:03.067Z,87707648,7.92,1
2024-09-13T21:51:04.074Z,92299264,9.90,1
2024-09-13T21:51:05.082Z,93110272,7.92,1
2024-09-13T21:51:06.090Z,98787328,11.00,1
2024-09-13T21:51:07.099Z,99868672,7.92,1
2024-09-13T21:51:08.105Z,108519424,10.89,1
