View page at https://foo.peerproxy.dev
ICE Connection State has changed: checking
ICE Connection State has changed: connected
Data channel opened
GET 200 http://localhost:3000/benchmarking/sizetest.html
GET 200 http://localhost:3000/benchmarking/fetchSizes.js
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
GET 200 http://localhost:3000/buffer?size=1000
